date,text,likes,retweets,link
2020-10-07,"- Números mostram que, de maio a setembro de 2020, recorde na apreensão de bens do crime!
. @JusticaGovBR 
. No YouTube: https://t.co/LyFAyRKChe https://t.co/EclurOoObc",21052,4617,https://twitter.com/jairbolsonaro/status/1313825934038970368
2020-10-06,"@tarcisiogdf @DNIToficial 🤝🇧🇷, Ministro!",10164,718,https://twitter.com/jairbolsonaro/status/1313600122341806080
2020-10-06,"- Após 5 anos de interrupções o Capitão @tarcisiogdf inaugurou o novo cais de Atalaia no porto de Vitória/ES.
- Anunciou também investimentos para alavancar a cobotagem no Espírito Santo. @MInfraestrutura 
. No YouTube: https://t.co/CGdaaRESYb https://t.co/RiFvio4NtV",19965,3948,https://twitter.com/jairbolsonaro/status/1313568946952560641
2020-10-06,@Marceloscf2 @DNIToficial 🤝,2384,147,https://twitter.com/jairbolsonaro/status/1313474494586146817
2020-10-06,- @ItamaratyGovBr @ernestofaraujo https://t.co/XTll0ioUIv,31274,4913,https://twitter.com/jairbolsonaro/status/1313465559674220550
2020-10-05,"- Também tive o prazer de conversar com o Presidente da Coreia do Sul, Moon Jae-in, e tratar de temas ligados à liberalização do comércio bilateral, oportunidades de cooperação em ciência e tecnologia, além de biodiversidade, e do acordo Mercosul-Coreia do Sul. 🇧🇷🤝🇰🇷",14756,2389,https://twitter.com/jairbolsonaro/status/1313162413076877315
2020-10-05,"- Hoje conversei com o Príncipe Herdeiro da Arábia Saudita, Mohammad bin Salman Al Saud, e dar seguimento às iniciativas acordadas em minha visita a Riade, em out/2019.
- Estamos aprofundando nossa cooperação em Defesa, comércio, investimentos e outros temas.🇧🇷🤝🇸🇦 https://t.co/bBfOJ5cwSC",32658,5126,https://twitter.com/jairbolsonaro/status/1313139940100837376
2020-10-05,"- Tenho a minha opinião, qual a sua? https://t.co/rDlLI3RGXW",32031,5495,https://twitter.com/jairbolsonaro/status/1313129111053840386
2020-10-04,"- BR 319 (Porto Velho/Manaus) e a hidrovia do Madeira.
- Capitão @tarcisiogdf e a infraestrutura no Brasil.
. @MInfraestrutura 
. YouTube: https://t.co/qwbQVuUnQS https://t.co/fJyXuSM8FJ",18506,3783,https://twitter.com/jairbolsonaro/status/1312901524490727431
2020-10-04,Após recentes acordos de paz: Deputado @BolsonaroSP ;Embaixador EUA @USAmbBR ;Embaixador Israel @embaixadoryossi ;Presidente da República @jairbolsonaro ;Embaixador Bahrein Bader Al-Hulaiabi; Embaixador  Emirados Árabes Unidos Saleh Alsuwaidi; e @ItamaratyGovBr @ernestofaraujo . https://t.co/jG3soKWjhg,21292,3894,https://twitter.com/jairbolsonaro/status/1312816223642628098
2020-10-04,Outros pontos serão colocados nas redes sociais: https://t.co/G38jCla4pm,25287,5609,https://twitter.com/jairbolsonaro/status/1312758989046910977
2020-10-04,"- @sergiodireita1 Sérgio: Fundação Palmares.
- @depheliolopes : Deputado Federal.
- Bom dia a todos. https://t.co/qfj505HbPw",27599,3424,https://twitter.com/jairbolsonaro/status/1312717292464156673
2020-10-03,"- Muito obrigado meu AGRESTE.
- Brasil acima de tudo, Deus acima de todos!
. No YouTube: https://t.co/brpzLpltNZ https://t.co/IjPS1sJ8dN",29806,5817,https://twitter.com/jairbolsonaro/status/1312411649102487558
2020-10-03,"- Capitão @tarcisiogdf na região Norte.
- A ponte do Abunã e a BR 319.
- Em dezembro estaremos em Rondônia. @MInfraestrutura 
- Bom dia a todos.
. YouTube: https://t.co/OZm6Ybuhe0 https://t.co/RkFJwM62rh",26556,5206,https://twitter.com/jairbolsonaro/status/1312323519980752901
2020-10-02,"2- Parabenizo o STF, que no dia ontem, por 6 x 4, autorizou a Petrobrás liberar venda de refinarias, sem o aval do Congresso.",19093,2796,https://twitter.com/jairbolsonaro/status/1311971466884329473
2020-10-02,"1- Ramal do Agreste/estação de bombeamento VII - Sertânia/PE.
. YouTube: https://t.co/Eosyc3bmBf https://t.co/YjNZEMXw1p",21283,3866,https://twitter.com/jairbolsonaro/status/1311971244548513797
2020-10-01,". Live da semana sobre fatos e mais ações dos últimos dias do @govbr : 
.Acompanhe no YouTube: https://t.co/GI3KU7HFJu",9616,1802,https://twitter.com/jairbolsonaro/status/1311794025675067399
2020-10-01,- São José do Egito/ Pernambuco https://t.co/3ezmOfrEuR,19295,3559,https://twitter.com/jairbolsonaro/status/1311792912242483200
